Datum,team1,team2,score1,something,score2,Dec,Period,Arena,Att,hej,hej2,hej3
2020-12-21,OskarshamnIKO,VäxjöVLH,2,-,3,SO,0-0, 2-0, 0-2, 0-0, 0-1,Be-Ge Hockey Center,0
2020-12-19,OskarshamnIKO,LuleåLHF,2,-,5,Reg,1-0, 1-4, 0-1,Be-Ge Hockey Center,0
2020-12-17,RögleRBK,MalmöMIF,2,-,3,Reg,1-1, 1-1, 0-1,Catena Arena,0
2020-12-17,ÖrebroÖRE,FrölundaFHC,1,-,6,Reg,0-1, 1-2, 0-3,Behrn Arena,50
2020-12-17,LuleåLHF,OskarshamnIKO,5,-,4,OT,2-2, 1-2, 1-0, 1-0,Coop Norrbotten Arena,0
2020-12-15,LinköpingLHC,OskarshamnIKO,6,-,3,Reg,4-0, 0-1, 2-2,Saab Arena,0
2020-12-15,RögleRBK,FärjestadFBK,3,-,4,SO,0-0, 2-3, 1-0, 0-0, 0-1,Catena Arena,8
2020-12-15,MalmöMIF,HV71HV71,2,-,1,Reg,1-0, 1-1, 0-0,Malmö Arena,0
2020-12-15,DjurgårdenDIF,FrölundaFHC,5,-,1,Reg,1-0, 2-1, 2-0,Hovet,0
2020-12-13,ÖrebroÖRE,FärjestadFBK,5,-,2,Reg,2-0, 2-2, 1-0,Behrn Arena,0
2020-12-12,LuleåLHF,DjurgårdenDIF,3,-,2,Reg,2-0, 1-1, 0-1,Coop Norrbotten Arena,0
2020-12-12,SkellefteåSKE,LeksandLIF,1,-,3,Reg,0-1, 1-2, 0-0,Skellefteå Kraft Arena,50
2020-12-12,RögleRBK,OskarshamnIKO,2,-,1,Reg,0-0, 2-0, 0-1,Catena Arena,8
2020-12-12,FärjestadFBK,VäxjöVLH,4,-,2,Reg,0-0, 3-1, 1-1,Löfbergs Arena,0
2020-12-12,HV71HV71,ÖrebroÖRE,2,-,4,Reg,0-1, 1-2, 1-1,Husqvarna Garden,0
2020-12-12,FrölundaFHC,MalmöMIF,2,-,3,Reg,1-0, 0-2, 1-1,Scandinavium,0
2020-12-10,DjurgårdenDIF,ÖrebroÖRE,5,-,2,Reg,1-0, 2-1, 2-1,Hovet,0
2020-12-10,RögleRBK,SkellefteåSKE,5,-,2,Reg,1-0, 3-1, 1-1,Catena Arena,8
2020-12-10,VäxjöVLH,LeksandLIF,4,-,3,Reg,2-1, 0-2, 2-0,Vida Arena,8
2020-12-10,LinköpingLHC,FärjestadFBK,1,-,5,Reg,0-2, 1-1, 0-2,Saab Arena,0
2020-12-10,HV71HV71,FrölundaFHC,2,-,3,Reg,2-0, 0-3, 0-0,Husqvarna Garden,0
2020-12-10,MalmöMIF,OskarshamnIKO,4,-,0,Reg,0-0, 2-0, 2-0,Malmö Arena,0
2020-12-08,VäxjöVLH,OskarshamnIKO,4,-,3,Reg,1-0, 3-2, 0-1,Vida Arena,8
2020-12-08,LinköpingLHC,HV71HV71,2,-,0,Reg,0-0, 0-0, 2-0,Saab Arena,0
2020-12-08,LuleåLHF,RögleRBK,0,-,5,Reg,0-1, 0-3, 0-1,Coop Norrbotten Arena,0
